Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,1,12,District-Pulwama,Urban,90+,3,0,4,0,0,2,1,0,0
C4920,1,12,District-Pulwama,Urban,Age Not Stated,0,0,1,1,0,2,0,0,0
C4920,1,13,District-Shupiyan,Rural,0-4,25,39,32,1,2,18,16,16,7
C4920,1,13,District-Shupiyan,Rural,5-9,50,53,43,30,25,47,26,28,31
C4920,1,13,District-Shupiyan,Rural,10-19,118,94,94,46,38,117,95,81,61
C4920,1,13,District-Shupiyan,Rural,20-29,80,79,69,41,23,120,75,79,50
C4920,1,13,District-Shupiyan,Rural,30-39,62,78,46,28,22,121,55,51,38
C4920,1,13,District-Shupiyan,Rural,40-49,58,74,56,28,17,99,57,41,21
C4920,1,13,District-Shupiyan,Rural,50-59,52,66,48,13,10,99,58,34,21
C4920,1,13,District-Shupiyan,Rural,60-69,76,55,46,12,10,63,44,22,15
C4920,1,13,District-Shupiyan,Rural,70-79,73,33,35,7,4,62,31,11,12
C4920,1,13,District-Shupiyan,Rural,80-89,47,17,23,1,3,28,18,2,3
C4920,1,13,District-Shupiyan,Rural,90+,7,16,5,0,0,11,8,1,1
C4920,1,13,District-Shupiyan,Rural,Age Not Stated,1,1,0,1,0,0,0,0,1
C4920,1,13,District-Shupiyan,Urban,0-4,2,5,3,0,0,0,0,0,0
C4920,1,13,District-Shupiyan,Urban,5-9,0,4,2,0,1,2,1,0,3
C4920,1,13,District-Shupiyan,Urban,10-19,7,6,9,4,2,8,1,3,4
C4920,1,13,District-Shupiyan,Urban,20-29,4,12,7,2,2,11,7,5,3
C4920,1,13,District-Shupiyan,Urban,30-39,5,6,8,6,4,10,3,5,1
C4920,1,13,District-Shupiyan,Urban,40-49,2,9,1,6,6,12,5,2,2
C4920,1,13,District-Shupiyan,Urban,50-59,10,3,3,1,4,5,8,1,2
C4920,1,13,District-Shupiyan,Urban,60-69,6,7,8,2,1,7,4,4,1
C4920,1,13,District-Shupiyan,Urban,70-79,4,4,7,1,0,5,7,5,4
C4920,1,13,District-Shupiyan,Urban,80-89,2,4,5,0,0,2,4,1,1
C4920,1,13,District-Shupiyan,Urban,90+,1,2,0,0,0,0,0,0,1
C4920,1,13,District-Shupiyan,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
